Source;Model;Total;Detected;Succeeded;Success rate
new prompt / full specs;gpt-5;10;10;7;70.0%
new prompt / name only;deepinfra moonshotai Kimi-K2.5;10;7;3;30.0%
new prompt1 / full specs;Qwen Qwen3.6-35B-A3B;10;8;5;50.0%
new prompt1 / full specs;gpt-5;10;10;8;80.0%
new prompt1 / full specs;novita moonshotai Kimi-K2.5;10;10;5;50.0%
new prompt1 / name only;Qwen Qwen3.6-35B-A3B;10;9;8;80.0%
new prompt1 / name only;novita moonshotai Kimi-K2.5;10;10;4;40.0%
oriprompt / full specs;novita moonshotai Kimi-K2.5;10;10;1;10.0%
oriprompt / name only;novita moonshotai Kimi-K2.5;10;10;2;20.0%

File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results
new/new prompt1/full specs/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_10_25_28;TRUE;4,657233;290,385955;975,562683;1294,94;1038,063;221,94;Yes;Yes;No
new/new prompt1/full specs/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_10_27_37;TRUE;-44,671852;425,870595;3235,98482;1306,163;1068,885;736,185;Yes;No;No
new/new prompt1/full specs/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_10_30_35;TRUE;4,470868;290,085147;968,088518;1294,983;1037,994;220,24;Yes;Yes;No
new/new prompt1/full specs/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_10_32_04;TRUE;4,657233;290,385955;975,562683;1294,94;1038,063;221,94;Yes;Yes;No
new/new prompt1/full specs/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_10_33_34;TRUE;-59,87402;458,456856;3045,447406;1309,621;1076,299;692,838;Yes;No;No
new/new prompt1/full specs/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_10_35_54;TRUE;-45,469248;424,274157;3236,611514;1306,344;1068,522;736,328;Yes;No;No
new/new prompt1/full specs/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_10_36_46;TRUE;4,30348;290,345633;970,329708;1295,021;1038,054;220,75;Yes;Yes;No
new/new prompt1/full specs/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_10_38_31;TRUE;-26,208625;283,208557;991,368003;1301,962;1036,43;225,536;Yes;No;No

File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results
new/new prompt1/name only/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260731_11_12_17;TRUE;12,048587;295,660341;967,756041;1293,259;1039,263;220,164;Yes;Yes;Yes
new/new prompt1/name only/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260731_11_18_23;TRUE;2,45928;292,874799;958,746922;1295,44;1038,629;218,115;Yes;Yes;Yes
new/new prompt1/name only/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260731_11_20_10;TRUE;4,305483;290,345627;970,343728;1295,02;1038,054;220,753;Yes;Yes;No
new/new prompt1/name only/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260731_11_23_59;TRUE;4,649985;290,400315;975,552227;1294,942;1038,066;221,938;Yes;Yes;No
new/new prompt1/name only/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260731_11_26_51;FALSE;;;;;;;No;No;No
new/new prompt1/name only/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260731_11_28_05;TRUE;2,45928;292,874799;958,746922;1295,44;1038,629;218,115;Yes;Yes;Yes
new/new prompt1/name only/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260731_11_33_32;TRUE;13,680565;296,880324;969,729122;1292,887;1039,54;220,613;Yes;Yes;Yes
new/new prompt1/name only/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260731_11_37_12;TRUE;2,118784;292,92953;959,807878;1295,518;1038,641;218,356;Yes;Yes;Yes
new/new prompt1/name only/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260731_11_42_48;TRUE;4,30548;290,347342;970,346047;1295,02;1038,054;220,753;Yes;Yes;No
new/new prompt1/name only/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260731_11_44_14;TRUE;78,099611;204,792676;734,896291;1278,232;1018,59;167,189;Yes;No;No

File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results
new/new prompt1/name only/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_10_01_21;TRUE;4,435636;290,402351;976,502189;1294,991;1038,067;222,154;Yes;Yes;Yes
new/new prompt1/name only/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_10_02_55;TRUE;-94,700456;413,04111;3264,559417;1317,544;1065,967;742,686;Yes;No;No
new/new prompt1/name only/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_10_04_20;TRUE;272,081054;-89,85052;1425,38665;1234,101;951,559;324,275;Yes;No;No
new/new prompt1/name only/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_10_05_57;TRUE;-3301,787014;6841,02988;2671,247684;2047,155;2528,332;607,708;Yes;No;No
new/new prompt1/name only/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_10_08_41;TRUE;4,435393;290,392398;972,46996;1294,991;1038,064;221,237;Yes;Yes;No
new/new prompt1/name only/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_10_10_34;TRUE;4,409649;290,392555;971,337243;1294,997;1038,064;220,979;Yes;Yes;Yes
new/new prompt1/name only/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_10_14_49;TRUE;-3,442857;272,131272;791,130111;1296,783;1033,91;179,982;Yes;No;No
new/new prompt1/name only/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_10_16_51;TRUE;-121,869992;2127,181562;1648,314802;1323,725;1455,933;374,991;Yes;No;No
new/new prompt1/name only/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_10_19_30;TRUE;4,434826;290,400489;972,480423;1294,991;1038,066;221,239;Yes;Yes;No
new/new prompt1/name only/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_10_21_26;TRUE;-121,869992;2127,181562;1648,314802;1323,725;1455,933;374,991;Yes;No;No

File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results
new/oriprompt/full specs/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_09_22_29;TRUE;579,955706;-152,092711;743,934036;1164,06;937,399;169,245;Yes;No;No
new/oriprompt/full specs/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_09_24_34;TRUE;4,303481;290,347363;970,332028;1295,021;1038,054;220,75;Yes;Yes;No
new/oriprompt/full specs/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_09_25_57;TRUE;-16,150262;197,030711;4941,616983;1299,674;1016,824;1124,216;Yes;No;No
new/oriprompt/full specs/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_09_26_39;TRUE;-42,90929;420,166972;3241,41708;1305,762;1067,588;737,421;Yes;No;No
new/oriprompt/full specs/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_09_27_15;TRUE;-42,90929;420,166972;3241,41708;1305,762;1067,588;737,421;Yes;No;No
new/oriprompt/full specs/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_09_28_34;TRUE;-44,671852;425,870595;3235,98482;1306,163;1068,885;736,185;Yes;No;No
new/oriprompt/full specs/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_09_29_58;TRUE;-42,90929;420,166972;3241,41708;1305,762;1067,588;737,421;Yes;No;No
new/oriprompt/full specs/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_09_31_21;TRUE;391,53998;-159,696228;4657,373383;1206,925;935,669;1059,551;Yes;No;No
new/oriprompt/full specs/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_09_34_09;TRUE;-12,306295;203,473171;4933,368994;1298,799;1018,29;1122,34;Yes;No;No
new/oriprompt/full specs/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_09_35_25;TRUE;-47,909046;409,862171;3214,513904;1306,899;1065,244;731,301;Yes;No;No

File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results
new/oriprompt/name only/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_09_39_06;TRUE;-121,869992;2127,181562;1648,314802;1323,725;1455,933;374,991;Yes;No;No
new/oriprompt/name only/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_09_40_17;TRUE;-138,080439;507,747294;4903,477646;1327,413;1087,512;1115,54;Yes;No;No
new/oriprompt/name only/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_09_41_44;TRUE;-121,869992;2127,181562;1648,314802;1323,725;1455,933;374,991;Yes;No;No
new/oriprompt/name only/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_09_44_02;TRUE;-114,342228;423,070594;5059,509822;1322,013;1068,248;1151,037;Yes;No;No
new/oriprompt/name only/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_09_46_37;TRUE;-12,306295;203,473171;4933,368994;1298,799;1018,29;1122,34;Yes;No;No
new/oriprompt/name only/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_09_48_48;TRUE;-44,671852;425,870595;3235,98482;1306,163;1068,885;736,185;Yes;No;No
new/oriprompt/name only/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_09_51_39;TRUE;4,649985;290,400315;975,552227;1294,942;1038,066;221,938;Yes;Yes;No
new/oriprompt/name only/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_09_53_30;TRUE;-151,337046;485,897042;4978,650845;1330,429;1082,541;1132,641;Yes;No;No
new/oriprompt/name only/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_09_55_08;TRUE;4,30548;290,347342;970,346047;1295,02;1038,054;220,753;Yes;Yes;No
new/oriprompt/name only/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_09_57_02;TRUE;-132,650351;364,331123;4983,119673;1326,178;1054,885;1133,658;Yes;No;No
